;Meses;Autoridad_Portuaria;Graneles Líquidos t;Graneles Sólidos t;Mercancía General t;Mercancia General Contenedores t;Pesca t;Avituallamiento t;Avituallamiento De Combustibles Líquidos t;Tráfico Interior t;Mercancías En Tránsito t;Mercancías En Tránsito En Contenedores t;Tráfico Ro-Ro t;UTIS Ro-Ro;TEUS Contenedores;TEUS Contenedores En Tránsito;TEUS Contenedores Entrada-Salida Nacional;TEUS Contenedores Entrada-Salida Exterior;Unidades Buques Mercantes;G.T. Buques Mercantes;Unidades Buques De Crucero;Pasajeros En Régimen De Transporte Y De Crucero;Pasajeros En Régimen De Transporte;Pasajeros De Crucero;Automóviles En Régimen De Pasaje;Automóviles En Régimen De Mercancía
44;Febrero;Málaga;12900;71662;61834;23266;12.0;5050;1838;0;3709;2639;38307;2169;3155.25;1328.25;659.0;1168.0;88;2243457;7;30304;15629;14675;2745;4577
45;Febrero;Marín y Ría de Pontevedra;0;51001;79963;37553;167.928;1168;530;0;0;0;0;0;3411.5;0.0;379.25;3032.25;27;136397;0;0;0;0;0;3
46;Febrero;Melilla;5796;0;35366;3677;0.0;0;0;0;0;0;35366;2344;478.0;0.0;475.0;3.0;82;1831849;0;24199;24199;0;5017;198
47;Febrero;Motril;138237;23885;40456;609;13.37;2299;1240;0;24084;0;37064;1410;114.0;0.0;0.0;114.0;59;755372;0;2358;2358;0;506;3
48;Febrero;Pasaia;0;65312;195438;0;2233.65;1690;683;0;4284;0;55951;316;0.0;0.0;0.0;0.0;71;580637;0;1;0;1;0;22488
49;Febrero;Santa Cruz de Tenerife;339305;10829;678477;385133;162.452;55546;50251;131;131645;128342;304755;22205;48982.0;15142.0;30421.0;3419.0;1335;18921414;62;590459;441375;149084;125480;6325
50;Febrero;Santander;28078;258750;232718;30202;198.915;2411;1194;0;4180;0;194138;4601;2534.25;0.0;0.0;2534.25;116;2074397;0;7264;7264;0;3622;47000
51;Febrero;Sevilla;35006;148593;129483;80729;0.0;2894;1497;0;0;0;14371;701;11552.0;0.0;11478.0;74.0;71;404508;4;860;0;860;0;312
52;Febrero;Tarragona;1781067;1049845;150302;29852;144.91;10732;4275;19983;321422;882;24859;152;4025.75;402.25;943.5;2680.0;205;4158005;0;12;12;0;0;14764
53;Febrero;Valencia;324101;115459;5249921;4026188;83.84100000000001;36020;28703;0;2219522;2159411;1090398;36368;358916.0;169772.0;13388.0;175756.0;546;20926327;5;45080;33278;11802;8489;53053
54;Febrero;Vigo;5744;27030;319392;179660;2263.787;2803;700;0;13928;10250;94966;968;15660.0;785.0;1064.0;13811.0;129;2715609;0;0;0;0;0;45072
55;Febrero;Vilagarcía;35868;29220;64366;23144;0.0;507;270;0;158;158;0;0;2579.5;6.0;2407.5;166.0;30;244095;0;0;0;0;0;7
56;Marzo;A Coruña;591403;544458;80350;0;2442.947;7792;3394;0;318609;0;0;0;0.0;0.0;0.0;0.0;86;1659967;4;10565;0;10565;0;0
57;Marzo;Alicante;6504;276103;107639;96319;0.0;1509;204;0;0;0;4804;214;14534.0;0.0;13380.25;1153.75;57;745037;3;13212;7243;5969;1687;95
58;Marzo;Almería;0;368991;103864;15162;110.205;5894;3797;0;0;0;73554;3859;1058.5;0.0;416.0;642.5;128;2148677;0;26930;26930;0;8321;176
59;Marzo;Avilés;56189;244437;128771;0;1056.976;5070;1377;0;0;0;0;0;0.0;0.0;0.0;0.0;70;554362;0;0;0;0;0;0
60;Marzo;Bahía de Algeciras;2321077;123376;6273324;4854027;38.752;349632;335382;352409;5318723;4334056;1413888;46720;400314.0;336648.0;4.0;63662.0;2359;45144327;0;312991;312991;0;61755;350
61;Marzo;Bahía de Cádiz;140155;148365;189757;130404;1050.968;10305;2609;0;150417;18815;76923;2328;17027.0;1638.25;13047.5;2341.25;123;2591176;16;24850;1292;23558;771;1789
62;Marzo;Baleares;68656;23303;1271413;30084;112.903;5410;127;488;1122;0;1264556;60671;8332.0;0.0;8332.0;0.0;2836;17401718;17;383287;327546;55741;64703;13670
63;Marzo;Barcelona;1166042;500734;3794743;2744971;169.035;116022;97442;0;1622089;1219856;1089060;38690;259313.25;94237.5;21238.25;143837.5;701;26863389;32;217051;97166;119885;23272;77057
64;Marzo;Bilbao;1801755;378813;694522;426316;0.0;10954;5696;0;2212;1791;81483;3156;39909.0;166.25;3993.0;35749.75;228;4271152;0;3883;3883;0;1662;7606
65;Marzo;Cartagena;2611390;746119;117044;50454;0.0;21407;1068;0;77539;29;0;0;3377.25;2.0;542.0;2833.25;177;3931480;4;4401;0;4401;0;0
66;Marzo;Castellón;751441;656447;113933;100561;212.056;2122;0;0;255;255;11239;8;6220.0;92.0;468.0;5660.0;117;1634468;0;0;0;0;0;62
67;Marzo;Ceuta;53938;0;50002;6430;0.0;62899;61181;0;0;0;49352;2939;540.0;0.0;530.0;10.0;843;6477387;4;147013;139069;7944;31187;128
68;Marzo;Ferrol-San Cibrao;309451;330196;98565;43659;23.913;1356;792;0;121342;0;745;9;3360.5;0.0;877.75;2482.75;83;1420347;0;0;0;0;0;38
69;Marzo;Gijón;95963;1536601;121932;54160;1765.627;0;0;0;545969;278;0;0;3909.0;69.0;577.0;3263.0;120;2079182;1;985;0;985;0;0
70;Marzo;Huelva;1243543;365072;111494;50618;21.828;13773;12091;0;120480;0;58117;2894;6727.5;0.0;5875.25;852.25;155;2594511;0;4616;4616;0;2790;814
71;Marzo;Las Palmas;823575;55844;1626453;1198891;27.025;214693;187986;0;1240434;808624;426039;30328;115966.0;63713.0;45271.0;6982.0;1082;25548644;95;334594;104946;229648;46503;57332
72;Marzo;Málaga;6000;108583;85489;23545;6.647;6564;2841;0;3846;2694;62576;3373;3312.25;1334.25;890.0;1088.0;142;3446390;16;48987;22382;26605;4058;8027
