,Autoridad_Portuaria,Graneles Líquidos t,Graneles Sólidos t,Mercancía General t,Mercancia General Contenedores t,Mercancías En Tránsito t,Tráfico Ro-Ro t,TEUS Contenedores,Total_pasajeros,Anios,Mes,fecha,Total_buques,Total_automoviles,Total_toneladas
150,11,949995,730181,130028,118091,3789,13848,9394.0,0,2022,6,2022-06-01,139,183,1945932
151,12,57241,1400,49758,5738,0,49498,464.0,145270,2022,6,2022-06-01,3495,34078,163635
152,13,287826,737068,131101,49943,225914,2389,4112.5,513,2022,6,2022-06-01,122,2,1434241
153,14,100860,1419216,123598,59594,70740,0,4466.0,3647,2022,6,2022-06-01,127,0,1774008
154,15,1767084,363036,103351,49163,127806,39141,6891.25,6082,2022,6,2022-06-01,2419,4039,2449581
155,16,568431,20293,1484674,1077033,997669,395662,100341.0,150058,2022,6,2022-06-01,29911,82528,4543762
156,17,11065,115176,246597,190073,163625,45067,17362.5,46622,2022,6,2022-06-01,2682,12598,771603
157,18,0,86893,109484,47503,31,0,3930.0,0,2022,6,2022-06-01,49,5,243911
158,19,4690,3304,48639,3527,0,48639,509.0,53985,2022,6,2022-06-01,3316,11531,108799
159,20,100643,78253,17553,0,6070,2994,0.0,7208,2022,6,2022-06-01,213,1962,205513
160,21,0,35931,231241,0,0,59238,0.0,538,2022,6,2022-06-01,405,25561,326410
161,22,331091,29545,630490,307408,42105,339268,40308.0,417416,2022,6,2022-06-01,26759,139933,1679907
162,23,26126,179636,255877,32445,2455,207959,2645.25,29586,2022,6,2022-06-01,5617,41937,704498
163,24,29087,129850,170992,96231,0,13696,13681.25,1372,2022,6,2022-06-01,846,407,439856
164,25,1699618,1128551,216459,50489,496354,59847,6274.5,1622,2022,6,2022-06-01,1634,17430,3651318
165,26,294907,100249,6504628,5154194,2685946,1196411,454707.0,138745,2022,6,2022-06-01,45077,61311,15936335
166,27,6379,28682,371978,233957,21035,105563,18958.0,13553,2022,6,2022-06-01,1265,46770,767594
167,28,22797,49303,83306,25359,4816,0,3198.25,0,2022,6,2022-06-01,41,6,185581
168,1,896679,233737,89181,0,48280,0,0.0,15852,2022,7,2022-07-01,93,0,1267877
169,2,1,140255,141724,126740,472,5020,20043.5,26865,2022,7,2022-07-01,262,3537,414212
170,3,8004,322344,86933,19167,1921,54337,1378.0,189921,2022,7,2022-07-01,3388,42886,492706
171,4,51230,254508,74039,0,0,0,0.0,0,2022,7,2022-07-01,77,0,379777
172,5,2263960,200130,5727691,4854355,5393024,866117,415262.0,918075,2022,7,2022-07-01,32261,210522,19305277
173,6,133171,154839,206422,129036,181101,65105,20938.75,48241,2022,7,2022-07-01,2274,2554,869674
174,7,258049,43504,1338242,36703,1627,1334885,9710.0,1369979,2022,7,2022-07-01,69263,169559,3013010
175,8,1468339,249318,4479676,3456513,2373162,1061955,311800.0,621730,2022,7,2022-07-01,40444,120921,13088963
176,9,2009171,334906,820645,495123,32366,99745,47535.0,25537,2022,7,2022-07-01,3890,8331,3791956
177,10,2619799,411892,83053,63234,0,0,5617.25,12700,2022,7,2022-07-01,180,0,3177978
178,11,819036,833116,157428,145556,3106,46344,11390.0,0,2022,7,2022-07-01,156,89,2004586
